user_id,age,gender,country,education,job_title,years_experience
0,50-54,Man,India,Bachelor’s degree,Other,5-10 years
1,50-54,Man,Indonesia,Master’s degree,Program/Project Manager,20+ years
2,22-24,Man,Pakistan,Master’s degree,Software Engineer,1-3 years
3,45-49,Man,Mexico,Doctoral degree,Research Scientist,20+ years
4,45-49,Man,India,Doctoral degree,Other,< 1 years
5,25-29,Woman,India,I prefer not to answer,Currently not employed,< 1 years
6,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years
7,30-34,Man,India,Bachelor’s degree,Data Scientist,5-10 years
8,22-24,Man,Russia,Bachelor’s degree,Currently not employed,3-5 years
9,30-34,Man,Turkey,I prefer not to answer,Other,1-3 years
10,40-44,Man,Australia,Doctoral degree,Other,1-3 years
11,18-21,Woman,India,Master’s degree,Student,< 1 years
12,18-21,Woman,India,Master’s degree,Student,< 1 years
13,45-49,Man,Nigeria,Master’s degree,Program/Project Manager,5-10 years
14,22-24,Man,Nigeria,Bachelor’s degree,Other,< 1 years
15,35-39,Man,Greece,Doctoral degree,Research Scientist,10-20 years
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,20+ years
17,18-21,Man,Pakistan,Bachelor’s degree,Data Scientist,1-3 years
18,22-24,Man,Japan,Master’s degree,Software Engineer,3-5 years
19,30-34,Man,Egypt,Bachelor’s degree,Other,< 1 years
20,70+,Man,Singapore,Bachelor’s degree,Other,< 1 years
21,25-29,Woman,Turkey,Bachelor’s degree,Data Scientist,3-5 years
22,30-34,Man,Indonesia,Master’s degree,Student,1-3 years
23,35-39,Man,Brazil,Master’s degree,Machine Learning Engineer,20+ years
24,18-21,Man,India,Bachelor’s degree,Student,1-3 years
25,25-29,Woman,Poland,Master’s degree,Machine Learning Engineer,3-5 years
26,45-49,Man,Brazil,Doctoral degree,Research Scientist,< 1 years
27,22-24,Man,China,Master’s degree,Student,3-5 years
28,22-24,Woman,"Iran, Islamic Republic of...",Bachelor’s degree,Data Scientist,3-5 years
29,18-21,Man,India,Bachelor’s degree,Student,< 1 years
30,22-24,Man,India,Bachelor’s degree,Other,1-3 years
31,30-34,Man,India,Master’s degree,Data Scientist,5-10 years
32,22-24,Nonbinary,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,3-5 years
34,22-24,Man,India,Bachelor’s degree,Student,1-3 years
35,30-34,Woman,Brazil,Bachelor’s degree,Currently not employed,< 1 years
36,25-29,Woman,Egypt,Master’s degree,Currently not employed,< 1 years
37,30-34,Man,Brazil,Bachelor’s degree,Student,3-5 years
38,22-24,Man,Japan,No formal education past high school,Software Engineer,3-5 years
39,18-21,Man,India,Bachelor’s degree,Student,< 1 years
40,25-29,Man,Brazil,Master’s degree,Data Scientist,5-10 years
41,25-29,Man,Italy,Master’s degree,Other,1-3 years
42,55-59,Man,United States of America,Master’s degree,Software Engineer,10-20 years
43,30-34,Woman,Viet Nam,Master’s degree,Machine Learning Engineer,1-3 years
44,18-21,Man,United States of America,Some college/university study without earning a bachelor’s degree,Student,1-3 years
45,40-44,Man,Israel,Master’s degree,Data Scientist,3-5 years
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years
47,18-21,Woman,Egypt,Bachelor’s degree,Student,1-3 years
48,25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years
49,30-34,Woman,United States of America,Master’s degree,Data Scientist,5-10 years
50,25-29,Man,Peru,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years
51,40-44,Man,United States of America,Bachelor’s degree,Research Scientist,< 1 years
52,40-44,Man,South Africa,Master’s degree,Data Analyst,1-3 years
53,40-44,Man,Other,Master’s degree,Business Analyst,1-3 years
54,30-34,Man,Spain,Master’s degree,Currently not employed,1-3 years
55,22-24,Woman,Bangladesh,Bachelor’s degree,Software Engineer,5-10 years
56,30-34,Woman,Indonesia,Master’s degree,Student,1-3 years
57,35-39,Woman,Russia,I prefer not to answer,Data Scientist,1-3 years
58,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years
59,35-39,Man,India,Bachelor’s degree,Program/Project Manager,1-3 years
60,18-21,Man,Japan,Some college/university study without earning a bachelor’s degree,Student,< 1 years
61,18-21,Man,Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years
62,30-34,Man,Japan,Master’s degree,Data Scientist,1-3 years
63,18-21,Man,India,Bachelor’s degree,Student,< 1 years
64,18-21,Man,India,Bachelor’s degree,Student,1-3 years
65,40-44,Man,Russia,Doctoral degree,Data Engineer,1-3 years
66,30-34,Prefer not to say,China,I prefer not to answer,Data Analyst,< 1 years
67,30-34,Man,Other,Master’s degree,Business Analyst,1-3 years
68,35-39,Man,India,Bachelor’s degree,Other,< 1 years
69,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,20+ years
70,25-29,Man,India,Bachelor’s degree,Currently not employed,< 1 years
71,22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Other,3-5 years
72,30-34,Woman,"Iran, Islamic Republic of...",Master’s degree,Software Engineer,5-10 years
73,45-49,Man,Turkey,Master’s degree,Program/Project Manager,20+ years
74,22-24,Man,Brazil,Master’s degree,Student,5-10 years
75,40-44,Man,France,Doctoral degree,Research Scientist,3-5 years
76,50-54,Man,United States of America,Master’s degree,Data Engineer,20+ years
77,22-24,Man,China,Master’s degree,Business Analyst,< 1 years
78,25-29,Man,Switzerland,Doctoral degree,Student,5-10 years
79,22-24,Man,India,Bachelor’s degree,Currently not employed,1-3 years
80,35-39,Man,United States of America,Professional doctorate,Research Scientist,10-20 years
81,30-34,Man,Other,Master’s degree,Software Engineer,5-10 years
82,30-34,Man,India,Master’s degree,Business Analyst,1-3 years
83,18-21,Man,India,Master’s degree,Student,1-3 years
84,25-29,Man,Algeria,Professional doctorate,Student,I have never written code
85,22-24,Man,Bangladesh,Bachelor’s degree,Student,1-3 years
86,25-29,Man,Tunisia,Master’s degree,Data Scientist,5-10 years
87,25-29,Man,United States of America,Master’s degree,Data Scientist,1-3 years
88,25-29,Woman,Italy,Bachelor’s degree,Student,1-3 years
89,55-59,Man,United States of America,Bachelor’s degree,Software Engineer,20+ years
90,25-29,Woman,Argentina,Master’s degree,Data Scientist,< 1 years
91,30-34,Man,United States of America,Master’s degree,Business Analyst,1-3 years
92,22-24,Man,Sweden,Master’s degree,Student,5-10 years
93,55-59,Man,United States of America,Bachelor’s degree,Other,1-3 years
94,18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years
95,30-34,Man,Colombia,Bachelor’s degree,Student,5-10 years
96,25-29,Man,India,Master’s degree,Machine Learning Engineer,1-3 years
97,40-44,Man,Italy,Master’s degree,Software Engineer,20+ years
98,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years
99,22-24,Man,India,Master’s degree,Student,< 1 years
100,18-21,Woman,Singapore,Some college/university study without earning a bachelor’s degree,Student,< 1 years
101,25-29,Man,India,Master’s degree,Software Engineer,1-3 years
102,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years
